names,atom_pos,atoms,water_counts
41,"[2.0168 1.9832 9.5555 1.9214 1.965  9.5793 2.0761 1.9528 9.63   2.038
 2.0579 9.3072 1.9427 2.0443 9.2804 2.0498 2.032  9.4031]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
466,"[1.9865 1.9221 9.5913 2.01   2.0115 9.6293 2.0128 1.8504 9.656  1.945
 1.9863 9.3299 1.9598 1.8938 9.2948 1.9369 1.9832 9.4295]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1197,"[1.9932 2.0689 9.6303 2.0506 2.1253 9.6896 1.9959 1.974  9.6618 1.9858
 2.0493 9.3483 2.0173 2.1414 9.3254 1.9909 2.036  9.4473]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1339,"[2.0153 1.9316 9.6342 2.0222 1.9018 9.539  2.0556 2.0227 9.6436 2.0122
 1.8887 9.3318 1.9512 1.9675 9.3233 1.9885 1.8205 9.2626]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
240,"[2.0118 2.0598 9.6128 1.9549 1.9874 9.6518 2.1054 2.0508 9.6468 1.9926
 2.0507 9.345  1.9952 2.0684 9.4433 1.9488 1.9623 9.3282]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1842,"[2.0247 2.0312 9.652  2.0821 1.9722 9.7089 2.0315 2.0022 9.5566 2.0712
 1.9313 9.3824 2.0975 1.8425 9.3446 2.1203 2.0039 9.3341]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1317,"[2.0612 2.0027 9.3672 2.1549 1.9732 9.3487 2.0042 1.9851 9.2869 1.991
 1.9768 9.628  2.0163 1.9955 9.5331 1.8924 1.9613 9.6338]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1595,"[2.0511 1.9554 9.3632 2.0167 2.0375 9.3176 2.1308 1.9207 9.3138 2.0586
 1.9296 9.6257 2.0663 1.948  9.5277 2.0923 1.8375 9.6451]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1150,"[2.0376 1.9594 9.6315 1.9458 1.9461 9.6688 2.0779 2.0421 9.6708 2.0314
 1.9438 9.3594 1.9548 2.0048 9.3393 2.0395 1.9319 9.4583]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1168,"[2.0175 2.0456 9.3983 2.0298 2.0534 9.4972 2.0114 2.1369 9.3581 2.0229
 2.0511 9.6707 2.11   2.0449 9.7194 1.9731 2.1321 9.7015]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1467,"[1.9993 2.0613 9.6307 1.9142 2.0465 9.6811 2.0767 2.031  9.6863 2.0608
 2.0601 9.3418 2.0458 2.0508 9.4402 2.0981 1.9747 9.3055]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
297,"[2.0253 1.9794 9.6063 1.9684 1.9173 9.6602 2.0051 2.0739 9.632  2.1319
 1.9004 9.3689 2.2003 1.9666 9.3383 2.0921 1.9311 9.4554]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
474,"[2.015  1.9694 9.6694 2.0249 2.0427 9.7367 1.9315 1.9178 9.6882 2.0687
 1.9464 9.4019 2.0419 1.9626 9.4969 2.1513 1.8902 9.3997]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1898,"[2.0148 1.9515 9.3198 1.9882 1.9218 9.4115 1.936  1.9923 9.2737 1.9613
 1.9551 9.6052 2.0033 2.0409 9.6349 1.9184 1.9102 9.6836]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1674,"[2.0188 1.8434 9.6849 2.0158 1.8773 9.5909 1.996  1.746  9.6859 2.0351
 1.935  9.4299 2.0561 2.0319 9.4425 2.0864 1.8996 9.3517]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
946,"[2.0353 1.9917 9.353  2.027  1.9858 9.4525 2.0388 1.8995 9.3143 2.0106
 1.9227 9.6263 2.0861 1.9017 9.6885 1.9386 1.8542 9.6371]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
671,"[2.0746 1.9184 9.3684 2.1224 2.0059 9.361  2.0538 1.8997 9.4644 2.0022
 1.891  9.6364 1.9084 1.8851 9.6707 2.0506 1.9643 9.6842]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1947,"[1.9729 2.0097 9.6491 1.9602 1.9146 9.6773 2.0249 2.0586 9.7191 1.9687
 1.9997 9.3506 1.9436 1.9944 9.4473 1.9946 1.9088 9.3179]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1230,"[2.0035 1.9781 9.3877 2.0116 1.8851 9.352  2.0691 2.0375 9.3411 1.9421
 2.03   9.6536 1.9757 2.0123 9.5611 2.0021 2.0959 9.6989]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
508,"[2.0089 1.8899 9.6438 2.0236 1.9066 9.5463 1.9334 1.9469 9.6763 2.0184
 1.9926 9.3792 2.0979 1.9721 9.3222 1.9722 2.0739 9.3439]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1367,"[2.0064 1.944  9.5726 2.0836 2.0022 9.5985 1.9919 1.9499 9.4739 2.015
 1.9397 9.3049 2.0551 2.0186 9.2583 2.0818 1.8653 9.3077]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
559,"[1.9385 2.1033 9.6814 1.9639 2.198  9.701  1.8422 2.0892 9.7043 2.0786
 1.9285 9.5273 2.1775 1.9417 9.5327 2.0324 2.0023 9.5766]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1524,"[2.0041 1.9796 9.5931 2.0905 1.991  9.6421 1.9406 1.9268 9.6494 1.9801
 2.0355 9.3402 1.9687 2.0133 9.437  1.9934 1.9513 9.288 ]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
415,"[1.9919 2.0374 9.6279 1.9851 1.9494 9.6749 1.9396 2.1062 9.6781 2.0139
 2.1083 9.3499 2.051  2.1046 9.4427 1.9196 2.0751 9.3504]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
884,"[2.0463 2.0249 9.3757 2.064  2.0217 9.474  2.089  1.9461 9.3314 2.1012
 1.9765 9.6461 2.0591 1.894  9.6836 2.1977 1.9796 9.6722]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1970,"[1.9347 2.042  9.6819 1.8444 2.0335 9.7239 2.0052 2.033  9.7523 1.97
 2.0081 9.3949 1.9539 2.0098 9.4936 1.9875 2.1011 9.3624]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1594,"[2.0257 2.067  9.3805 1.9645 2.1014 9.3093 2.0966 2.0101 9.3388 1.9695
 2.0495 9.6526 1.975  2.0536 9.5529 1.993  1.9574 9.6835]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
1080,"[2.0106 1.9864 9.5874 1.9205 2.0027 9.6275 2.0789 2.0415 9.6353 2.054
 1.9688 9.314  2.0334 1.9427 9.4083 2.1529 1.9662 9.2995]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
430,"[2.0156 2.0135 9.602  2.1035 2.015  9.6497 1.9792 2.1065 9.5963 2.0771
 1.9206 9.3571 2.1221 1.9928 9.3045 2.0557 1.9545 9.4487]","['O', 'H', 'H', 'O', 'H', 'H']",2.0
